Date,Open,High,Low,Close,Adj Close,Volume
2021-12-10,47642.144531,50015.253906,47023.699219,47243.304688,47243.304688,30966005122
2021-12-11,47264.632813,49458.210938,46942.347656,49362.507813,49362.507813,25775869261
2021-12-12,49354.855469,50724.867188,48725.851563,50098.335938,50098.335938,21939223599
2021-12-13,50114.742188,50205.0,45894.847656,46737.480469,46737.480469,32166727776
2021-12-14,46709.824219,48431.398438,46424.496094,46612.632813,46612.632813,34638619079
2021-12-15,48379.753906,49473.957031,46671.964844,48896.722656,48896.722656,36541828520
2021-12-16,48900.464844,49425.574219,47529.878906,47665.425781,47665.425781,27268150947
2021-12-17,47653.730469,48004.894531,45618.214844,46202.144531,46202.144531,32902725329
2021-12-18,46219.253906,47313.828125,45598.441406,46848.777344,46848.777344,26098292690
2021-12-19,46853.867188,48089.664063,46502.953125,46707.015625,46707.015625,25154053861
2021-12-20,46707.0625,47401.71875,45579.808594,46880.277344,46880.277344,30961902129
2021-12-21,46886.078125,49300.917969,46698.773438,48936.613281,48936.613281,27055803928
2021-12-22,48937.097656,49544.796875,48450.941406,48628.511719,48628.511719,24447979559
2021-12-23,48626.34375,51332.339844,48065.835938,50784.539063,50784.539063,28223878108
2021-12-24,50856.69140625,51483.4453125,50711.5,51019.65625,,27655915520
2021-12-24,50856.69140625,51483.4453125,50711.5,51129.94921875,,27714254848
2021-12-24,50856.69140625,51483.4453125,50711.5,51227.7578125,,27694047232
2021-12-24,50856.69140625,51483.4453125,50711.5,51252.203125,,27704184832
2021-12-24,50856.69140625,51483.4453125,50711.5,51217.3203125,,27724756992
2021-12-24,50856.69140625,51483.4453125,50711.5,51103.53515625,,27643668480
2021-12-24,50856.69140625,51483.4453125,50711.5,51103.53515625,,27643668480
